field_key,stem_degree,stem_discriminant,closure_degree,closure_discriminant,ramification_support,galois_group,manifolds
x^2 - x + 1,2,-3,2,-3,3,C2,"o10_150683,o10_150684,o10_150685,o10_150686,o10_150687,o10_150688,o10_150689,o10_150690,o10_150691,o10_150692,o10_150693,o10_150694,o10_150695,o10_150696,o10_150697,o10_150698,o10_150699,o10_150700,o10_150701,o10_150702,o10_150703,o10_150704,o10_150705,o10_150706,o10_150707,o10_150708,o10_150709,o10_150710,o10_150711,o10_150712,o10_150713,o10_150714,o10_150715,o10_150716,o10_150717,o10_150718,o10_150719,o10_150720,o10_150721,o10_150722,o10_150723,o10_150724,o10_150725,o10_150726,o10_150727,o10_150728,o10_150729"
x^2 - x + 2,2,-7,2,-7,7,C2,"o9_39892,o9_39893,o9_39894,o9_39895,o9_39896,o9_39897,o9_39898,o9_39899,o9_39900,o9_39901,o9_39902,o9_39903,o9_39904,o9_39905,o9_39906"
x^3 + 2*x - 1,3,-59,6,-205379,59,S3,o10_140068
x^3 + x - 1,3,-31,6,-29791,31,S3,"o10_148974,o10_148975,o10_148976,o10_148977,o10_148978,o10_148979,o10_148980,o10_148981,o10_148982"
x^3 - x^2 + 1,3,-23,6,-12167,23,S3,"o10_148246,o10_148247,o10_148248,o10_148249,o10_148250,o10_148251,o10_148252,o10_148253,o10_148254,o10_148255,o10_148256,o10_148257,o10_148258"
x^3 - x^2 + 3*x - 2,3,-107,6,-1225043,107,S3,o10_048604
x^3 - x^2 + x + 1,3,-44,6,-21296,"2,11",S3,"o10_149272,o10_149273,o10_149274,o10_149275,o10_149276,o10_149277,o10_149278,o10_149279,o10_149280,o10_149281,o10_149282,o10_149283,o10_149284,o10_149285,o10_149286,o10_149287"
x^4 + x^2 - x + 1,4,257,24,83022819845310162051379891201,257,S4,"o10_148902,o10_148903,o10_148904,o10_148905,o10_148906,o10_148907,o10_148908,o10_148909,o10_148910,o10_148911,o10_148912,o10_148913,o10_148914,o10_148915,o10_148916,o10_148917,o10_148918,o10_148919,o10_148920,o10_148921,o10_148922,o10_148923,o10_148924"
x^4 - 2*x^3 + x^2 - x - 1,4,-751,24,32186906916727206510367651443384001,751,S4,"o10_116813,o10_116814"
x^4 - x - 1,4,-283,24,263898685087308495981516810961,283,S4,"o10_150522,o10_150523,o10_150524"
x^4 - x^3 + 2*x^2 - x + 2,4,697,24,13145991198511359348572918477156641,"17,41",S4,"o10_139420,o10_139421,o10_139422,o10_139423,o10_139424,o10_139425,o10_139426,o10_139427,o10_139428,o10_139429"
x^4 - x^3 + x^2 - x - 1,4,-563,24,1014146598191772065370414777301681,563,S4,"o10_144484,o10_144485,o10_144486,o10_144487,o10_144488,o10_144489"
x^5 - 2*x^4 + 2*x^3 - x^2 + 1,5,2209,10,-229345007,47,D5,"o10_147526,o10_147527,o10_147528,o10_147529"
x^4 - x^3 + 4*x^2 - 3*x + 2,4,1929,24,2654524461487826141968591253880308630241,"3,643",S4,"o10_059430,o10_059431"
x^4 - x^3 - 2*x + 1,4,-643,24,4994956093880272959686195182306801,643,S4,o9_28719
x^2 + 1,2,-4,2,-4,2,C2,"o10_144118,o10_144119,o10_144120"
x^4 - x^3 + x - 2,4,-1399,24,56209869097525683150716798908449343201,1399,S4,o10_074632
