filling            #words in groups size>=2    #groups size>=2      top group sizes         H1
m003(cusp)                               70                 25      [6, 4, 4, 4, 3]    Z/5 + Z
m003(-2,3)                               77                 25      [7, 7, 5, 4, 4]        Z/5
m003(-2,5)                               66                 25      [4, 4, 4, 3, 3]        Z/5
m003(-2,7)                               66                 25      [4, 4, 4, 3, 3]       Z/15
m003(-2,9)                               66                 25      [4, 4, 4, 3, 3]  Z/5 + Z/5
m003(-2,11)                              66                 25      [4, 4, 4, 3, 3]       Z/35
m003(-2,13)                              66                 25      [4, 4, 4, 3, 3]       Z/45
m003(-2,15)                              66                 25      [4, 4, 4, 3, 3]       Z/55
m003(-3,5)                               68                 26      [4, 4, 4, 3, 3]        Z/5
m003(-4,7)                               66                 25      [4, 4, 4, 3, 3]        Z/5
m003(-5,9)                               66                 25      [4, 4, 4, 3, 3]        Z/5
m003(-6,11)                              66                 25      [4, 4, 4, 3, 3]        Z/5
m003(-7,13)                              66                 25      [4, 4, 4, 3, 3]        Z/5
