filling,slope_p,slope_q,verified_hyperbolic,basis_guard,volume,homology,n_words
m003(cusp),,,True,PASS,2.02988321281931,Z/5 + Z,99
"m003(-2,3)",-2,3,True,PASS,0.981368828892232,Z/5,99
"m003(-2,5)",-2,5,True,PASS,1.61046971128952,Z/5,99
"m003(-2,7)",-2,7,True,PASS,1.81609382194943,Z/15,99
"m003(-2,9)",-2,9,True,PASS,1.90343990312824,Z/5 + Z/5,99
"m003(-2,11)",-2,11,True,PASS,1.94715666793409,Z/35,99
"m003(-2,13)",-2,13,True,PASS,1.97178683563660,Z/45,99
"m003(-2,15)",-2,15,True,PASS,1.98692753296338,Z/55,99
"m003(-3,5)",-3,5,True,PASS,1.61046971128952,Z/5,99
"m003(-4,7)",-4,7,True,PASS,1.80779311513156,Z/5,99
"m003(-5,9)",-5,9,True,PASS,1.89321548164438,Z/5,99
"m003(-6,11)",-6,11,True,PASS,1.93755180500593,Z/5,99
"m003(-7,13)",-7,13,True,PASS,1.96341439351714,Z/5,99
